PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
fev/19;LOCAÇÃO DE VEÍCULOS COM MOTORISTA;10;1.462.068,00;REITORIA
mar/19;PASSAGENS ÁEREAS;4;1.287.352,14;REITORIA
abr/19;LINK INTERNET REPUBLICAÇÃO;6;109.033,29;REITORIA
mai/19;MATERIAL DE LIMPEZA, COPA E COZINHA, GENEROS ALIMENTICIOS;110;602.186,49;REITORIA
jul/19;AQUISIÇÃO E INSTALAÇÃO DE CORTINA, PELÍCULAS E PERSIANAS;7;920.223,98;REITORIA/PALMAS
ago/19;FROTA EVENTUAL;13;1.469.214,60;REITORIA
set/19;REPARAÇÃO E MANUTENÇÃO DOS TELHADOS PARANAVAÍ E UMUARAMA (PARANAVAÍ);2;93.389,36;PARANAVAÍ
out/19;MATERIAIS E EQUIPAMENTOS PARA ACESSIBILIDADE EDUCACIONAL;34;117.518,24;REITORIA/PITANGA
nov/19;NÚCLEO BÁSICO IV;70;124.442,82;REITORIA/LONDRINA
dez/19;MONITORAMENTO ELETRÔNICO;59;16.466.175,52;REITORIA
13/2019;PRODUÇÃO ALIMENTÍCIA;102;409.991,21;REITORIA/PARANAVAÍ
14/2019;PRODUÇÃO INDUSTRIAL;38;223.589,78;REITORIA/CAMPO LARGO
15/2019;REPUBLICAÇÃO MATERIAL DE LIMPEZA, ETC;10;3.639,20;REITORIA
17/2019;MOBILIÁRIO BIBLIOTECA;121;3.381.355,92;REITORIA/ASSIS
18/2019;UNIFORMES, AVIAMENTOS, BANDEIRAS E EPI;120;703.963,05;REITORIA/UNIÃO DA VITÓRIA
19/2019;NÚCLEO BÁSICO III;134;681.909,42;REITORIA/IRATI
20/2019;RECURSOS NATURAIS E ACROECOLOGIA;74;373.827,32;REITORIA/UMUARAMA
21/2019;AQUISIÇÃO E INSTALAÇÃO DE AR CONDICIONADO;24;1.646.598,63;REITORIA/PARANAGUÁ
